name,category
"Alienware M15 Thin and Light 15"" Gaming Laptop i7-8750H, GTX 1070 Max Q, 128GB NVMe SSD + 1TB SSHD,  16GB DDR4 2666Mhz, 17.9mm Thick & 4.78lbs, Magnesium Alloy Chassis",4
Coach Signature Zip File Crossbody Bag,5
"Apple iPhone 8, Unlocked, 64GB - Space Gray (Renewed)",3
"Estee Lauder Revitalizing Supreme + Global Anti-Aging Cell Power Creme, 1.7 Ounce",2
Columbia Men's RFID Leather Wallet - Big Skinny Trifold Vertical Security Protection Credit Card Slots and ID Window,5
CHȂNEL Coco Mademoiselle Eau De Parfum spray For Women 3.4 OZ.,2
CHANEL Black Quilted Satin Paris Limited Flap Bag (Pre-Owned),5
Bleu De_Chanel for Men Eau De Toilette Spray 3.4oz NEW in BOX,2
C h a n e l Chance Tendre Eau de Toilette Spray For Women 1.7 OZ./ 50 ml.,2
CHANEL Black Patent Leather & Sequin Boy Small (Pre-Owned),5
"Chânel No.5 Eau De Parfum Spray for Woman, EDP 1.7 Ounces 50 ML",2
C.h.a.n.e.l Coco Mademoiselle Eau De Parfum Spray 3.4oz 100ml.,2
I'm Chanel - Doing Chanel Things T-Shirt | Cute Name Gift,5
Chanel LES BEIGES HEALTHY GLOW Natural Eyeshadow Palette New in Box,2
CHANEL Black Quilted Calfskin Cambon Ligne Bowler (Pre-Owned),5
Chanel 5131-H Sunglasses Color 501/3C Black Size 60MM,5
Chanel Coco Body Cream 150ml,2
"Chancè Chanèl Eau Fraiche Eau De Toilette Spray, for Woman EDT 1.7 fl oz, 50 ml",2
HYDRA BEAUTY CRÈME HYDRATION PROTECTION RADIANCE 50 G.,2
Dior Addict Lip Glow Color Awakening Lip Balm SPF 10 by Christian Dior for Women - 0.12 oz Lip Color,2
CHANEL LE LIFT FIRMING - ANTI-WRINKLE EYE CREAM 15G.,2
Les Beiges Healthy Glow Sheer Colour Broad Spectrum SPF 15 Sunscreen # 30,2
CHANEL LE Volume DE Waterproof# 10 Noir New in Box,2
"Chanel No. 5 Body Lotion 6.8 ounces, 200 milliliters Perfumed Luxury Body",2
CHANEL Black Quilted Calfskin Boy Medium (Renewed),5
"ZZYBIA Wristlet Clutch 2 way Coin Zip Mobile Case, Card Holder with Detachable Long Chain",3
CHANEL. MIROIR DOUBLE FACETTES (1 PCE),2
"Chanel Hand Cream for Unisex, 1.7 Ounce",2
"Apple iPhone 6s 64GB Unlocked Smartphone, GSM Only (AT&T/T-Mobile), Rose Gold (Refurbished)",3
"Apple iPhone 6, GSM Unlocked, 64GB - Space Gray (Refurbished)",3
"Apple iPhone 7 , Fully Unlocked, 32GB - Rose Gold (Renewed)",3
"Apple iPhone 6, GSM Unlocked, 16GB - Space Gray (Renewed)",3
"Apple iPhone 7, Fully Unlocked, 128GB - Rose Gold (Renewed)",3
"Apple iPhone 6S, GSM Unlocked, 16GB - Rose Gold (Refurbished)",3
"Apple iPhone 7 , GSM Unlocked, 128GB - Gold (Renewed)",3
"Apple iPhone 6S, Fully Unlocked, 64GB - Rose Gold (Renewed)",3
"Apple iPhone 7, GSM Unlocked, 32GB - Rose Gold (Refurbished)",3
"Apple iPhone 6, GSM Unlocked, 16GB - Gold (Renewed)",3
"Apple iPhone X, Fully Unlocked, 256GB - Space Gray (Renewed)",3
"Apple iPhone 6S, GSM Unlocked, 16GB - Space Grey (Refurbished)",3
